"Time","Event",""
"00:43.691","Niicht Lightning Bolt  Gathios the Shatterer 1306 (R: 415)",""
"00:45.694","Niicht Lightning Bolt  Gathios the Shatterer *2850* (R: 433)",""
"00:46.490","Niicht Lightning Bolt  Gathios the Shatterer 388 (R: 369)",""
"00:47.208","Niicht Lightning Bolt  Gathios the Shatterer 883 (R: 841)",""
"00:47.886","Niicht Chain Lightning  Gathios the Shatterer 440 (R: 1255)",""
"00:47.904","Niicht Lightning Bolt  Gathios the Shatterer *917* (R: 418)",""
"00:50.193","Niicht Lightning Bolt  Gathios the Shatterer *2211* (R: 839)",""
"00:51.718","Niicht Lightning Bolt  Gathios the Shatterer *2243* (R: 852)",""
"00:53.225","Niicht Lightning Bolt  Gathios the Shatterer *943* (R: 1288)",""
"00:54.027","Niicht Lightning Bolt  Gathios the Shatterer *646* (R: 398)",""
"00:54.027","Niicht Lightning Bolt  Gathios the Shatterer 679 (R: 216)",""
"00:54.739","Niicht Lightning Bolt  Gathios the Shatterer *933* (R: 1275)",""
"00:55.533","Niicht Lightning Bolt  Gathios the Shatterer 450 (R: 429)",""
"00:56.281","Niicht Lightning Bolt  Gathios the Shatterer *1878* (R: 856)",""
"00:57.782","Niicht Lightning Bolt  Gathios the Shatterer *1872* (R: 853)",""
"00:58.700","Niicht Chain Lightning  Veras Darkshadow Immune",""
"00:58.714","Niicht Chain Lightning  Gathios the Shatterer 524 (R: 1246)",""
"01:01.321","Niicht Lightning Bolt  Gathios the Shatterer *2219* (R: 843)",""
"01:02.110","Niicht Lightning Bolt  Gathios the Shatterer 466 (R: 370)",""
"01:02.864","Niicht Lightning Bolt  Gathios the Shatterer *2185* (R: 830)",""
"01:04.374","Niicht Lightning Bolt  Gathios the Shatterer *919* (R: 1255)",""
"01:05.134","Niicht Lightning Bolt  Gathios the Shatterer 673 (R: 214)",""
"01:06.266","Niicht Lightning Bolt  Gathios the Shatterer 1810",""
"01:08.180","Niicht Lightning Bolt  Gathios the Shatterer *2843* (R: 432)",""
"01:46.197","Niicht Lightning Bolt  Gathios the Shatterer *4034*",""
"01:47.617","Niicht Lightning Bolt  Gathios the Shatterer 496 (R: 473)",""
"01:49.173","Niicht Lightning Bolt  Gathios the Shatterer *2041* (R: 930)",""
"01:51.339","Niicht Chain Lightning  Gathios the Shatterer *2938* (R: 446)",""
"01:52.917","Niicht Lightning Bolt  Gathios the Shatterer 548 (R: 174)",""
"01:54.883","Niicht Lightning Bolt  Gathios the Shatterer *942* (R: 1288)",""
"01:56.844","Niicht Lightning Bolt  Gathios the Shatterer *2827* (R: 429)",""
"01:58.822","Niicht Lightning Bolt  Gathios the Shatterer *2774* (R: 421)",""
"02:00.426","Niicht Lightning Bolt  Gathios the Shatterer 188 (R: 564)",""
"02:00.818","Niicht Lightning Bolt  Gathios the Shatterer 1294 (R: 432)",""
"02:02.741","Niicht Lightning Bolt  Gathios the Shatterer *2810* (R: 427)",""
"02:11.262","Niicht Lightning Bolt  Gathios the Shatterer 1049 (R: 832)",""
"02:11.813","Niicht Chain Lightning  Veras Darkshadow 294 (R: 881)",""
"02:11.813","Niicht Chain Lightning  Gathios the Shatterer 1034 (R: 821)",""
"02:15.049","Niicht Lightning Bolt  Gathios the Shatterer 859 (R: 818)",""
"02:55.088","Niicht Lightning Bolt  Gathios the Shatterer 1055 (R: 837)",""
"02:57.058","Niicht Lightning Bolt  Gathios the Shatterer *3381* (R: 428)",""
"02:57.974","Niicht Lightning Bolt  Gathios the Shatterer 439 (R: 418)",""
"02:59.039","Niicht Lightning Bolt  Gathios the Shatterer 898 (R: 855)",""
"03:01.707","Niicht Lightning Bolt  Gathios the Shatterer 539 (R: 1281)",""
"03:03.679","Niicht Lightning Bolt  Gathios the Shatterer 893 (R: 851)",""
"03:05.656","Niicht Lightning Bolt  Gathios the Shatterer 444 (R: 1268)",""
"03:07.856","Niicht Lightning Bolt  Gathios the Shatterer 1029 (R: 816)",""
"03:10.398","Niicht Lightning Bolt  Gathios the Shatterer *1864* (R: 850)",""
"03:11.906","Niicht Chain Lightning  Veras Darkshadow 1007 (R: 320)",""
"03:11.906","Niicht Chain Lightning  Gathios the Shatterer 1754 (R: 464)",""
"03:12.159","Niicht Lightning Bolt  Gathios the Shatterer 468 (R: 372)",""
"03:12.159","Niicht Lightning Bolt  Gathios the Shatterer 806 (R: 213)",""
"03:15.636","Niicht Lightning Bolt  Gathios the Shatterer *1019* (R: 1392)",""
"03:17.512","Niicht Lightning Bolt  Gathios the Shatterer *2012* (R: 917)",""
"03:19.449","Niicht Lightning Bolt  Gathios the Shatterer 1131 (R: 898)",""
"03:21.067","Niicht Lightning Bolt  Gathios the Shatterer 695 (R: 232)",""
"03:21.428","Niicht Lightning Bolt  Gathios the Shatterer *2869* (R: 458)",""
"03:53.571","Niicht Lightning Bolt  Gathios the Shatterer 1800",""
"03:55.539","Niicht Lightning Bolt  Gathios the Shatterer *2693* (R: 409)",""
"03:55.701","Niicht Chain Lightning  Gathios the Shatterer 1736",""
"04:03.086","Niicht Lightning Bolt  Gathios the Shatterer 1066 (R: 846)",""
"04:05.413","Niicht Chain Lightning  Gathios the Shatterer *3344* (R: 423)",""
"04:08.282","Niicht Lightning Bolt  Gathios the Shatterer 979 (R: 932)",""
"04:09.529","Niicht Lightning Bolt  Gathios the Shatterer *1487* (R: 226)",""
"04:10.836","Niicht Lightning Bolt  Gathios the Shatterer *2000* (R: 911)",""
"04:11.043","Niicht Lightning Bolt  Gathios the Shatterer *1229*",""
"04:16.240","Niicht Lightning Bolt  Gathios the Shatterer 980 (R: 933)",""
"04:17.940","Niicht Lightning Bolt  Gathios the Shatterer 488 (R: 465)",""
"04:18.120","Niicht Lightning Bolt  Gathios the Shatterer 1456 (R: 462)",""
"04:19.997","Niicht Lightning Bolt  Gathios the Shatterer 973 (R: 926)",""
"04:21.966","Niicht Lightning Bolt  Gathios the Shatterer 1148 (R: 911)",""
"04:59.613","Niicht Lightning Bolt  Gathios the Shatterer *2399* (R: 428) (O: 979)",""
